"","id","predicted"
"1","0000aa8d-e87f-4316-9372-e2cbb0ccf158","epithelia"
"2","0001e8f3-07bc-49ee-877e-ebdd5a650dd1","epithelia"
"3","000a411b-6a87-487a-a32b-89cb487fc77f","epithelia"
"4","00291c1c-bf2f-4a92-a377-cf90043b51ed","epithelia"
"5","002ce9cd-f6e9-4080-845e-cd11a972ed72","epithelia"
"6","00316c10-205a-4f4b-943d-7047e5f0b50c","epithelia"
"7","0036a871-6e64-4b10-9204-2c21954b28dc","epithelia"
"8","003dde3d-e374-4bde-9576-ed6129f548e7","epithelia"
"9","00402081-dfc4-4b9a-99aa-64ed108136b6","stroma"
"10","00430b1e-4362-4c7c-97de-cf9850a551ae","CD8_T"
"11","0048c12f-b6d7-4873-8114-1f710a56a3e6","epithelia"
"12","0053fafb-57c9-4d7b-a273-d113c6b125e2","epithelia"
"13","005e9a75-794b-4027-ba45-c12dd9e0fb38","epithelia"
"14","005f20c5-a84b-4818-8172-54327dcfb45d","epithelia"
"15","005fbc75-f9b9-4d29-a508-d0313ca48457","epithelia"
"16","0067f383-a26e-4b2f-b0e8-72bc9b654ed5","epithelia"
"17","006df143-53d4-4ad3-a23b-541b31c525e7","epithelia"
"18","006e6d23-ce45-4fcc-a2e4-1c3d73a6929e","epithelia"
"19","007610e3-4fc1-41ef-ab68-719a2dab1725","epithelia"
"20","00765e9d-ce1c-4286-9de6-77ec8ad85455","epithelia"
"21","0077f0bb-3048-4ea2-a3d6-36ddcc112227","epithelia"
"22","0085815b-68d6-4a3b-9f31-15db9d5a442e","epithelia"
"23","0097c044-ac3d-48dd-8189-7ad3403c4485","epithelia"
"24","00999aa9-62d7-4d6c-81b5-8722aeb1a13f","epithelia"
"25","009d63d0-82ee-4753-bc94-856bc268e26f","Treg"
"26","00a8ffff-2165-4e3f-9ab9-0de7d7918cff","epithelia"
"27","00a93164-b3a8-4cbc-8ddb-88b15431e589","epithelia"
"28","00b20055-3ccf-4628-92bd-48497667f04d","epithelia"
"29","00b860f6-204d-44d5-bf08-13e58183646c","epithelia"
"30","00ccc847-e827-4b7f-beec-9bed8e3576b3","epithelia"
"31","00d4374c-d846-4c9a-ae41-8d4207023638","epithelia"
"32","00e2024f-e724-4c63-9da0-0e2aba9159d2","epithelia"
"33","00e2f41d-98c1-432b-acc5-8b082370da9c","epithelia"
"34","00ee4ac1-a756-47c6-866a-ca609dd8a0d5","endothelia"
"35","00f08b5e-edbf-4789-b022-6b240c132a54","Unknown"
"36","00f26830-ffd7-41f5-915e-f02ab03567b3","epithelia"
"37","00f28505-4a3f-441a-9b93-0724fe88ef6d","epithelia"
"38","00fa9eef-3a6f-49c4-83b2-44d67f49295e","epithelia"
"39","010c134e-78f4-415d-a490-c04ed39ae15d","immune"
"40","0118c4ce-21fa-40fc-955c-8ac74e6fc220","epithelia"
"41","013b86d0-76d7-4a7c-9431-b3a07e7cc796","epithelia"
"42","013ce897-77ae-4021-af79-227c72177cc7","epithelia"
"43","013ddd8b-24f3-48c4-8d14-6576e48b0bc6","epithelia"
"44","014662e3-608d-4cd9-a338-1a170ef18946","epithelia"
"45","014e3ec8-cd23-422f-bb92-143b30ba88d0","epithelia"
"46","0150538f-a2ea-45fc-a026-343c3a836520","epithelia"
"47","015f0608-8f21-4b68-8cc9-844970637750","epithelia"
"48","016310f8-5f64-4c84-b420-b9a97d486049","epithelia"
"49","016729ae-dbb8-4c3b-8110-95132b5f77a7","epithelia"
"50","01691ae5-7a9a-48fe-a7c2-73e787f05586","epithelia"
"51","0172622a-9356-4fe4-8300-16cbc8bfdc22","epithelia"
"52","017341c8-4a3e-4331-a917-f0a1d39c7292","epithelia"
"53","018086ba-d54d-4fea-89b6-d8306f1bf2d0","epithelia"
"54","01896cd1-a37e-4f70-8c7e-fd4ab6c2865c","epithelia"
"55","018dcad1-69fc-4d06-9e3b-12418ada95f6","Treg"
"56","019195e3-c27f-49c2-b45d-8d7a3d812942","epithelia"
"57","0197f4db-544e-4965-8fe5-23ba989c12ab","epithelia"
"58","0199ffc1-4a42-4607-ad34-4d839c93bee3","epithelia"
"59","01a4939e-a6c2-4f7b-ac2e-ec00275c1732","epithelia"
"60","01a611ef-434f-428e-ac1d-e59b48b504be","immune"
"61","01a887a4-9e27-430a-b315-add3400a25cf","epithelia"
"62","01ad71b6-7e8c-4f6b-979f-d98b3b4ba060","NKcells"
"63","01ae0e5a-7bf7-4527-90ec-4b549caf440b","epithelia"
"64","01b1bf79-7126-4200-9f33-51a8c84a3182","epithelia"
"65","01b7f753-0b75-444c-94db-ca456cd065e7","epithelia"
"66","01bae134-5c43-4be7-99a5-75be97aa638b","epithelia"
"67","01bc49c7-f119-42a0-8b57-61e57066a2d4","myeloid"
"68","01c34254-8ef6-46e8-ae21-f0668a217ae3","epithelia"
"69","01c43429-1a46-444e-af89-77f57dd1643f","epithelia"
"70","01c523e7-ec33-4cba-b0c8-186ae577eaa8","epithelia"
"71","01deb98c-508b-43d3-8b51-8093b027239d","epithelia"
"72","01e69f3e-7833-429a-bbba-4ba18f12eab4","stroma"
"73","01e70fbb-4ea4-4f5d-a789-c441864dafff","epithelia"
"74","01ed598d-40ab-4226-a194-a5b8a90fc412","endothelia"
"75","01fffc1d-76d2-487a-8404-9df87ffeda21","epithelia"
"76","0204444d-4173-404d-8a14-da79958f406c","epithelia"
"77","0221f9fc-fc25-42eb-899b-d491855027ac","Unknown"
"78","022f1919-3bba-4a76-86c2-3d28276a0278","epithelia"
"79","022f2942-bdba-4dcd-b95c-387a3e1f24c9","epithelia"
"80","02352f32-bf12-4e52-bfbb-5c496356802c","epithelia"
"81","024fb8f6-1a32-4de2-8730-695209ed6c18","epithelia"
"82","025ca99e-67b4-4663-b72c-b84301d71948","endothelia"
"83","0267088b-1169-416e-81cf-29fbf2b3fb74","epithelia"
"84","0277dc2c-f663-4e48-b4a0-9a6626a22a22","epithelia"
"85","027da8fd-df20-4943-8ba4-1c48cd3c5d4a","epithelia"
"86","029012fd-bbfe-4d83-8d01-bd0ac24d3895","epithelia"
"87","02a6d16a-9b85-4a33-8983-6dc9b5a9bbc2","epithelia"
"88","02b06d9c-78ad-46a3-a339-cb97ba8bce1a","epithelia"
"89","02bffc23-e5fd-45e8-905b-71e6dcc03733","epithelia"
"90","02c260f7-49a2-4090-a955-a8b1de7ae773","epithelia"
"91","02c98cd1-27be-45bd-82e2-6cb924ea8aa1","epithelia"
"92","02d0ab1d-06f1-43ca-a837-5dfd883c54b8","epithelia"
"93","02e7db11-b18a-48a5-a3f0-249c9bd9f5e3","epithelia"
