class,precision,recall,f1-score,accuracy,support,samples_per_class,fold,model
B,0.46007921617677716,0.6811728395061728,0.5492099041931069,0.8739650734015167,3240.0,30,4,MAPS
CD4 T,0.6998403406067057,0.3508537886872999,0.4673893726674959,0.7914840325610519,7496.0,30,4,MAPS
CD8 T,0.7627024008933556,0.3887307911212294,0.5149858623939679,0.9104918945244556,3514.0,30,4,MAPS
DC,0.2788033099936346,0.22729631551634666,0.25042881646655235,0.9087873095387184,1927.0,30,4,MAPS
Endothelial,0.6668426610348469,0.7254451464675474,0.694910591471802,0.9614207194044389,1741.0,30,4,MAPS
Epithelial,0.1864406779661017,0.66,0.2907488986784141,0.9495929868503444,450.0,30,4,MAPS
Lymphatic,0.4651639344262295,0.6021220159151194,0.5248554913294798,0.9714047171780421,754.0,30,4,MAPS
M1,0.3136645962732919,0.48870967741935484,0.3820933165195461,0.9659083002852571,620.0,30,4,MAPS
M2,0.5702290076335877,0.5126973232669869,0.5399349475966752,0.9557155778195228,1457.0,30,4,MAPS
Mast,0.5738068812430632,0.7774436090225564,0.6602809706257983,0.981493077297711,665.0,30,4,MAPS
Monocyte,0.3648068669527897,0.18451519536903038,0.24507448342143204,0.9453489181103458,1382.0,30,4,MAPS
NK,0.5445544554455446,0.5994550408719346,0.5706874189364461,0.9539414179364085,1468.0,30,4,MAPS
Neutrophil,0.41923076923076924,0.6337209302325582,0.5046296296296297,0.9702219439226327,688.0,30,4,MAPS
Other,0.26039016115351993,0.6013712047012733,0.3634211305119858,0.9251721978710081,1021.0,30,4,MAPS
Treg,0.3015241882041087,0.6780923994038748,0.4174311926605505,0.9558199401655882,671.0,30,4,MAPS
Tumor,0.6725978647686833,0.8008474576271186,0.7311411992263056,0.9661518124260766,1652.0,30,4,MAPS
overall,0.4712923332501881,0.5570296084455252,0.48170145164557426,0.49345995964655953,,30,4,MAPS
B,0.5621975519499004,0.6095679012345679,0.5849252184214424,0.9024907813260975,3240.0,30,3,MAPS
CD4 T,0.6547406082289803,0.19530416221985059,0.3008631319358816,0.7633061991233563,7496.0,30,3,MAPS
CD8 T,0.5310030395136778,0.4971542401821286,0.5135214579659024,0.8848535448410214,3514.0,30,3,MAPS
DC,0.2617866004962779,0.3284898806434873,0.29136939010356727,0.8928894454880679,1927.0,30,3,MAPS
Endothelial,0.6692307692307692,0.7495692130959218,0.707125440260092,0.9623947679677173,1741.0,30,3,MAPS
Epithelial,0.14589041095890412,0.47333333333333333,0.2230366492146597,0.9483754261462465,450.0,30,3,MAPS
Lymphatic,0.6916548797736917,0.6485411140583555,0.6694045174537988,0.9831976622834482,754.0,30,3,MAPS
M1,0.2369439071566731,0.3951612903225806,0.2962515114873035,0.9595074097265707,620.0,30,3,MAPS
M2,0.5284015852047557,0.5490734385724091,0.5385392123864019,0.9523064078480484,1457.0,30,3,MAPS
Mast,0.5491990846681922,0.7218045112781954,0.6237816764132553,0.9798580672093509,665.0,30,3,MAPS
Monocyte,0.36575178997613367,0.4435600578871201,0.4009156311314585,0.9362693940026439,1382.0,30,3,MAPS
NK,0.592964824120603,0.3215258855585831,0.41696113074204944,0.9540805677311626,1468.0,30,3,MAPS
Neutrophil,0.4296774193548387,0.48401162790697677,0.455228981544771,0.972274403395255,688.0,30,3,MAPS
Other,0.2678665960825834,0.49559255631733595,0.34776632302405497,0.933973422389202,1021.0,30,3,MAPS
Treg,0.2572347266881029,0.834575260804769,0.3932584269662921,0.9398872886662493,671.0,30,3,MAPS
Tumor,0.49363972096840375,0.7282082324455206,0.5884079236977255,0.9414527238572323,1652.0,30,3,MAPS
overall,0.4523864696482805,0.5297170441163209,0.45945978892179107,0.4535587560008349,,30,3,MAPS
B,0.5224349814232638,0.5641975308641975,0.5425137260721176,0.8927502956933139,3240.0,30,2,MAPS
CD4 T,0.6337849280270956,0.3994130202774813,0.49001636661211123,0.7832046197731858,7496.0,30,2,MAPS
CD8 T,0.5410509031198686,0.5626067159931701,0.5516183035714285,0.8881931399151186,3514.0,30,2,MAPS
DC,0.38300970873786405,0.40944473274519977,0.3957863054928517,0.9161970361093718,1927.0,30,2,MAPS
Endothelial,0.7957227138643068,0.6197587593337163,0.6968033580884727,0.9673345856814861,1741.0,30,2,MAPS
Epithelial,0.28356164383561644,0.46,0.3508474576271186,0.9733528143045989,450.0,30,2,MAPS
Lymphatic,0.6043656207366985,0.5875331564986738,0.5958305312710155,0.9790927433382036,754.0,30,2,MAPS
M1,0.2396887159533074,0.4967741935483871,0.32335958005249343,0.9551589786405065,620.0,30,2,MAPS
M2,0.5251594613749114,0.5085792724776939,0.5167364016736401,0.9517845961177207,1457.0,30,2,MAPS
Mast,0.7392638036809815,0.724812030075188,0.7319665907365224,0.9877200306129549,665.0,30,2,MAPS
Monocyte,0.3631871525633107,0.42547033285094066,0.3918693768743752,0.9365129061434634,1382.0,30,2,MAPS
NK,0.5288659793814433,0.34945504087193463,0.4208367514356029,0.9508801224518194,1468.0,30,2,MAPS
Neutrophil,0.3508030431107354,0.6031976744186046,0.4436130411544628,0.9637862659152577,688.0,30,2,MAPS
Other,0.31690487925086247,0.6297747306562194,0.4216393442622951,0.9386349405134627,1021.0,30,2,MAPS
Treg,0.3683823529411765,0.7466467958271237,0.4933530280649926,0.96420371529952,671.0,30,2,MAPS
Tumor,0.6076975016880486,0.5447941888619855,0.5745292052345995,0.953628330898212,1652.0,30,2,MAPS
overall,0.4877427118555932,0.5395286359562823,0.4963324605140062,0.501217560704098,,30,2,MAPS
B,0.44338198288877706,0.5438271604938272,0.4884945938453008,0.8716343143393863,3240.0,30,5,MAPS
CD4 T,0.6698217037200088,0.40594983991462114,0.5055237145942354,0.7929103179572811,7496.0,30,5,MAPS
CD8 T,0.6371065375302664,0.5990324416619237,0.6174831328835436,0.9092743338203576,3514.0,30,5,MAPS
DC,0.35145784081954295,0.4628956927867151,0.399552071668533,0.9067348500660961,1927.0,30,5,MAPS
Endothelial,0.8015161957270848,0.6680068925904652,0.7286967418546365,0.9698740694357476,1741.0,30,5,MAPS
