ligand,receptor,median_responder,median_nonresponder,difference
TGFB2,TGFBR1_TGFBR2,61.224489795918366,64.02930402930403,-2.804814233
TGFB3,TGFBR1_TGFBR2,59.58161633556799,65.625,-6.043383664
TGFB1,ACVR1B_TGFBR2,57.861635220125784,53.58969887222416,4.271936347901622
TGFB2,ACVR1B_TGFBR2,51.65562913907284,49.02597402597402,2.6296551130988206
TGFB3,ACVR1B_TGFBR2,51.62723262485733,51.78571428571429,-0.158481661
BMP2,BMPR1A_ACVR2A,43.51851851851852,42.01680672268907,1.5017117958294506
BMP2,BMPR1A_BMPR2,52.66412074922714,47.25822532402792,5.405895425199219
BMP4,BMPR1A_ACVR2A,41.12903225806452,47.22222222222222,-6.093189964
BMP4,BMPR1A_BMPR2,50,48.40425531914894,1.5957446808510625
GDF6,BMPR1A_ACVR2A,47.69230769230769,41.01681957186545,6.675488120442246
GDF6,BMPR1A_BMPR2,53.84615384615385,46.127450980392155,7.718702865761692
BMP5,ACVR1_ACVR2A,47.64150943396227,50.83333333333333,-3.191823899
BMP5,ACVR1_BMPR2,56.173780487804876,53.02013422818792,3.1536462596169557
BMP5,BMPR1A_ACVR2A,51.96414950419528,52.5,-0.535850496
BMP5,BMPR1A_BMPR2,52.68878719,48.92086330935252,3.767923876002179
BMP6,ACVR1_ACVR2A,50,51.42857142857142,-1.428571429
BMP6,ACVR1_BMPR2,54.71698113207547,52.52525252525253,2.1917286068229345
BMP6,BMPR1A_ACVR2A,46.666666666666664,48.4375,-1.770833333
BMP6,BMPR1A_BMPR2,54.71698113207547,45.69536424,9.021616894
BMP7,ACVR1_ACVR2A,56.36562804284324,35.956996434937615,20.408631607905626
BMP7,ACVR1_BMPR2,61.28883774453395,42.56350267379679,18.72533507073716
BMP7,BMPR1A_ACVR2A,54.11851036507063,37.633689839572185,16.484820525498442
BMP7,BMPR1A_BMPR2,56.741882223445245,41.58311051693405,15.158771706511196
GDF9,ACVR1B_BMPR2,48.07024709005513,46.24819624819625,1.822050841858882
GDF10,ACVR1B_ACVR2A,37.64948179643902,41.743589743589745,-4.094107947
GDF15,TGFBR2,44.329896907216494,53.57142857142857,-9.241531664
INHBA,ACVR1B_ACVR2A,31.01851851851852,28.960285586791613,2.0582329317269057
INHBB,ACVR1B_ACVR2A,40.25036109773712,38.372093023255815,1.878268074481305
WNT5A,FZD1,34.95145631067961,27.69607843137255,7.255377879307062
WNT5A,FZD3,28.07017543859649,21.50907091808686,6.561104521
WNT5A,FZD4,28.81355932,29.66644204851752,-0.852882726
WNT5A,FZD5,17.857142857142858,12.86745507602519,4.989687781117668
WNT5A,FZD6,22.07792207792208,23.622504785343178,-1.544582707
WNT5A,FZD7,18.39622641509434,14.495798319327731,3.9004280957666086
WNT5A,FZD8,14.77832512315271,15.73198773633112,-0.953662613
WNT5B,FZD1,36.37417218543047,29.72972972972973,6.644442455700737
WNT5B,FZD3,35.128205128205124,26.506024096385545,8.622181032
WNT5B,FZD4,29.273504273504273,31.48148148148148,-2.207977208
WNT5B,FZD5,20.183290707587382,17.67676767676768,2.5065230308197037
WNT5B,FZD6,26.560887512899896,25.49019607843137,1.0706914344685252
WNT5B,FZD7,18.566694283347143,17.91044776119403,0.6562465221531149
WNT5B,FZD8,18.30392156862745,16.32653061,1.9773909563825534
WNT11,FZD1,42.30769230769231,36.97478991596639,5.332902391725916
